date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:02:04	12116/12116	---M--	200	added ('OK')	image/jpeg	date:Mon,%2014%20Dec%202020%2006:47:15%20GMT	https://ntf.foundstaging.com/wp-content/uploads/sb-instagram-feed-images/ntf_ksa.jpg	E:/99degitaldesign/ntf-group/https___ntf.foundstaging.com_/ntf.foundstaging.com/wp-content/uploads/sb-instagram-feed-images/ntf_ksa.jpg	(from https://ntf.foundstaging.com/)
12:02:05	176/176	---M--	200	added ('OK')	image/png	date:Sun,%2013%20Dec%202020%2006:15:11%20GMT	https://ntf.foundstaging.com/wp-content/plugins/instagram-feed/img/placeholder.png	E:/99degitaldesign/ntf-group/https___ntf.foundstaging.com_/ntf.foundstaging.com/wp-content/plugins/instagram-feed/img/placeholder.png	(from https://ntf.foundstaging.com/)
12:02:05	346693/346693	---M--	200	added ('OK')	image/jpeg	date:Wed,%2023%20Dec%202020%2013:58:37%20GMT	https://ntf.foundstaging.com/wp-content/uploads/2020/11/dakar-rally-2020.jpg	E:/99degitaldesign/ntf-group/https___ntf.foundstaging.com_/ntf.foundstaging.com/wp-content/uploads/2020/11/dakar-rally-2020.jpg	(from https://ntf.foundstaging.com/)
12:02:05	30409/30409	---M--	200	added ('OK')	image/png	date:Mon,%2014%20Dec%202020%2018:48:57%20GMT	https://ntf.foundstaging.com/wp-content/uploads/2020/12/footer-logo.png	E:/99degitaldesign/ntf-group/https___ntf.foundstaging.com_/ntf.foundstaging.com/wp-content/uploads/2020/12/footer-logo.png	(from https://ntf.foundstaging.com/)
12:02:05	51474/51474	---M--	200	added ('OK')	image/jpeg	date:Thu,%2017%20Dec%202020%2007:33:57%20GMT	https://ntf.foundstaging.com/wp-content/uploads/2020/12/quote.jpg	E:/99degitaldesign/ntf-group/https___ntf.foundstaging.com_/ntf.foundstaging.com/wp-content/uploads/2020/12/quote.jpg	(from https://ntf.foundstaging.com/)
12:02:06	387019/387019	---M--	200	added ('OK')	image/png	date:Sun,%2020%20Dec%202020%2008:56:07%20GMT	https://ntf.foundstaging.com/wp-content/uploads/2020/12/ask-an-expert.png	E:/99degitaldesign/ntf-group/https___ntf.foundstaging.com_/ntf.foundstaging.com/wp-content/uploads/2020/12/ask-an-expert.png	(from https://ntf.foundstaging.com/)
12:02:06	58357/58357	---MCZ	200	added ('OK')	text/html	date:Thu,%2024%20Dec%202020%2006:17:07%20GMT	https://ntf.foundstaging.com/dakar-rally-2020/	E:/99degitaldesign/ntf-group/https___ntf.foundstaging.com_/ntf.foundstaging.com/dakar-rally-2020/index.html	(from https://ntf.foundstaging.com/)
12:02:06	1/1	---M-Z	400	error ('Bad%20Request')	text/html	date:Thu,%2024%20Dec%202020%2006:17:07%20GMT	https://ntf.foundstaging.com/wp-admin/admin-ajax.php	E:/99degitaldesign/ntf-group/https___ntf.foundstaging.com_/ntf.foundstaging.com/wp-admin/admin-ajax.php	(from https://ntf.foundstaging.com/)
12:02:07	14280/14280	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2021%20Dec%202020%2018:49:37%20GMT	https://ntf.foundstaging.com/wp-content/plugins/contact-form-7/includes/js/scripts.js?ver=5.3.2	E:/99degitaldesign/ntf-group/https___ntf.foundstaging.com_/ntf.foundstaging.com/wp-content/plugins/contact-form-7/includes/js/scripts9dff.js	(from https://ntf.foundstaging.com/)
12:02:07	57424/57424	---MCZ	200	added ('OK')	text/html	date:Thu,%2024%20Dec%202020%2006:17:08%20GMT	https://ntf.foundstaging.com/privacy-statement/	E:/99degitaldesign/ntf-group/https___ntf.foundstaging.com_/ntf.foundstaging.com/privacy-statement/index.html	(from https://ntf.foundstaging.com/)
12:02:07	23839/23839	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2017%20Dec%202020%2011:21:37%20GMT	https://ntf.foundstaging.com/wp-content/plugins/country-phone-field-contact-form-7/assets/js/intlTelInput.min.js?ver=5.6	E:/99degitaldesign/ntf-group/https___ntf.foundstaging.com_/ntf.foundstaging.com/wp-content/plugins/country-phone-field-contact-form-7/assets/js/intlTelInput.min40df.js	(from https://ntf.foundstaging.com/)
12:02:08	17280/17280	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2017%20Dec%202020%2011:21:37%20GMT	https://ntf.foundstaging.com/wp-content/plugins/country-phone-field-contact-form-7/assets/js/countrySelect.min.js?ver=5.6	E:/99degitaldesign/ntf-group/https___ntf.foundstaging.com_/ntf.foundstaging.com/wp-content/plugins/country-phone-field-contact-form-7/assets/js/countrySelect.min40df.js	(from https://ntf.foundstaging.com/)
12:02:09	884/884	---MC-	200	added ('OK')	text/javascript	date:Thu,%2024%20Dec%202020%2006:17:10%20GMT	https://www.google.com/recaptcha/api.js?render=6LdikA8aAAAAALMhWnnFp75k0q20a5qImYhQMpDI&ver=3.0	E:/99degitaldesign/ntf-group/https___ntf.foundstaging.com_/www.google.com/recaptcha/apid1f7.js	(from https://ntf.foundstaging.com/)
12:02:09	1267/1267	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2021%20Dec%202020%2018:49:37%20GMT	https://ntf.foundstaging.com/wp-content/plugins/contact-form-7/modules/recaptcha/script.js?ver=5.3.2	E:/99degitaldesign/ntf-group/https___ntf.foundstaging.com_/ntf.foundstaging.com/wp-content/plugins/contact-form-7/modules/recaptcha/script9dff.js	(from https://ntf.foundstaging.com/)
12:02:09	8155/8155	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2017%20Dec%202020%2012:08:07%20GMT	https://ntf.foundstaging.com/wp-content/themes/ntf/assets/js/wow.min.js?ver=5.6	E:/99degitaldesign/ntf-group/https___ntf.foundstaging.com_/ntf.foundstaging.com/wp-content/themes/ntf/assets/js/wow.min40df.js	(from https://ntf.foundstaging.com/)
12:02:09	35456/35456	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2013%20Dec%202020%2011:16:49%20GMT	https://ntf.foundstaging.com/wp-content/themes/ntf/assets/js/isotope.pkgd.min.js?ver=5.6	E:/99degitaldesign/ntf-group/https___ntf.foundstaging.com_/ntf.foundstaging.com/wp-content/themes/ntf/assets/js/isotope.pkgd.min40df.js	(from https://ntf.foundstaging.com/)
12:02:09	88955/88955	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2002%20Dec%202020%2005:51:12%20GMT	https://ntf.foundstaging.com/wp-content/themes/ntf/assets/library/slick-1.8.1/slick/slick.js?ver=5.6	E:/99degitaldesign/ntf-group/https___ntf.foundstaging.com_/ntf.foundstaging.com/wp-content/themes/ntf/assets/library/slick-1.8.1/slick/slick40df.js	(from https://ntf.foundstaging.com/)
12:02:10	40182/40182	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2015%20Dec%202020%2009:10:09%20GMT	https://ntf.foundstaging.com/wp-content/themes/ntf/assets/js/validate.js?ver=4878	E:/99degitaldesign/ntf-group/https___ntf.foundstaging.com_/ntf.foundstaging.com/wp-content/themes/ntf/assets/js/validatee162.js	(from https://ntf.foundstaging.com/)
12:02:10	15464/15464	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2023%20Dec%202020%2009:49:39%20GMT	https://ntf.foundstaging.com/wp-content/themes/ntf/assets/js/main.js?ver=3413	E:/99degitaldesign/ntf-group/https___ntf.foundstaging.com_/ntf.foundstaging.com/wp-content/themes/ntf/assets/js/main3353.js	(from https://ntf.foundstaging.com/)
